Name,Type
Abbuoto,Red
Aboto,Red
Cecubo,Red
Abouriou,Red
Beaujolais,Red
Early Burgunder,Red
Early Burgundy,Red
Gamay Beaujolais,Red
Gamay du Rhône,Red
Gamay St-Laurent,Red
Malbec Argente Negret de la Canourgue,Red
Noir Hatif,Red
Plant Abouriou,Red
Plant Précoce,Red
Précoce Naugé,Red
Précoce Noir,Red
Pressac de Bourgogne,Red
Alexandroouli,Red
Aleksandroouly,Red
Aleksandrouli,Red
Aleksandrouli shavi,Red
Alexandreouli,Red
Alexandreuli,Red
Alexandroouli,Red
Alexandrouly,Red
Alexsandrouli,Red
Kabistona,Red
Kabistoni,Red
Akhasheni,Red
Akhashenuli,Red
Abrusco,Red
Abrostalo,Red
Abrostine,Red
Abrostino,Red
Abrusco nero,Red
Abrusco nero di toscana,Red
Abrusio,Red
Colore,Red
Colorino,Red
Acolon,Red
Ada Karasi,Red
Adakarasi,Red
Adakarassy,Red
Avsa adasi,Red
Avsa island,Red
Balikesir,Red
Erdek,Red
Noir des iles,Red
Affenthaler,Red
Affenthaler schwarzblau,Red
Affenthaler blauer,Red
Blauer affenthaler,Red
Burgunder saeuerlich,Red
Kleiner trollinger,Red
Morillon aigret,Red
Pineau aigret,Red
Saeuerlicher burgunder,Red
Schwarzblaue affenthaler,Red
Trollinger klein,Red
Agiorgitiko,Red
Aghiorghitico,Red
Aghiorghitiko,Red
Nemeas Mavro,Red
Nemeas Mavroudi,Red
StGeorge,Red
Aglianico,Red
Aglianco di puglia,Red
Aglianica,Red
Aglianichella,Red
Aglianichello,Red
Aglianico amaro,Red
Aglianico crni,Red
Aglianico del vulture,Red
Aglianico di castellaneta,Red
Aglianico di taurasi,Red
Aglianico femminile,Red
Aglianico mascolino,Red
Aglianico nero,Red
Aglianico pannarano,Red
Aglianico tringarulo,Red
Aglianico zerpoluso,Red
Aglianico zerpuloso,Red
Aglianicuccia,Red
Agliano,Red
Agliatica,Red
Agliatico,Red
Agnanico,Red
Agnanico di castellaneta,Red
Alianiko,Red
Cascavoglia,Red
Cerasole,Red
Ellanico,Red
Ellenico,Red
